|FR| RMC SPORT LIVE 9 FHD	00`05alive00`05b126927.m3u8
|FR| RMC SPORT LIVE 10 FHD	00`05alive00`05b126928.m3u8
|FR| RMC SPORT LIVE 11 FHD	00`05alive00`05b126929.m3u8
|FR| RMC SPORT LIVE 12 FHD	00`05alive00`05b126930.m3u8
-----| BEIN SPORTS FHD |-----	00`05alive00`05b126934.m3u8
|FR| BEIN SPORTS 1 FHD	00`05alive00`05b126935.m3u8
|FR| BEIN SPORTS 2 FHD	00`05alive00`05b126936.m3u8
|FR| BEIN MAX 4 FHD	00`05alive00`05b126938.m3u8
|FR| BEIN MAX 5 FHD	00`05alive00`05b126939.m3u8
|FR| BEIN MAX 6 FHD	00`05alive00`05b126940.m3u8
|FR| BEIN MAX 7 FHD	00`05alive00`05b126941.m3u8
|FR| BEIN MAX 8 FHD	00`05alive00`05b126942.m3u8
|FR| BEIN MAX 9 FHD	00`05alive00`05b126943.m3u8
|FR| BEIN MAX 10 FHD	00`05alive00`05b126944.m3u8
-----| SPORTS FHD |-----	00`05alive00`05b126945.m3u8
|FR| MULTISPORTS 1 FHD	00`05alive00`05b126946.m3u8
|FR| MULTISPORTS 2 FHD	00`05alive00`05b126947.m3u8
|FR| MULTISPORTS 3 FHD	00`05alive00`05b126948.m3u8
|FR| MULTISPORTS 4 FHD	00`05alive00`05b126949.m3u8
|FR| MULTISPORTS 5 FHD	00`05alive00`05b126950.m3u8
|FR| MULTISPORTS 6 FHD	00`05alive00`05b126951.m3u8
|FR| OL TV FHD	00`05alive00`05b126952.m3u8
|FR| INFOSPORT+ FHD	00`05alive00`05b126954.m3u8
|FR| L EQUIPE FHD	00`05alive00`05b126955.m3u8
|FR| EQUIDIA LIVE FHD	00`05alive00`05b126956.m3u8
|FR| EUROSPORT 1 FHD	00`05alive00`05b126957.m3u8
|FR| EUROSPORT 2 FHD	00`05alive00`05b126958.m3u8
|FR| AUTOMOTO FHD	00`05alive00`05b126959.m3u8
|FR| GOLF+ FHD	00`05alive00`05b126960.m3u8
|FR| GOLF CHANNEL FHD	00`05alive00`05b157031.m3u8
|FR| ES1 FHD	00`05alive00`05b126961.m3u8
|FR| MOTORVISION HD	00`05alive00`05b260524.m3u8
-----| AMAZON PRIME |-----	00`05alive00`05b135609.m3u8
|FR| AMAZON PRIME LEAGUE 1 HD	00`05alive00`05b141641.m3u8
|FR| AMAZON PRIME LEAGUE 2 HD	00`05alive00`05b141642.m3u8
|FR| AMAZON PRIME LEAGUE 3 HD	00`05alive00`05b141643.m3u8
|FR| AMAZON PRIME LEAGUE 4 HD	00`05alive00`05b141644.m3u8
|FR| AMAZON PRIME LEAGUE 5 HD	00`05alive00`05b141645.m3u8
|FR| AMAZON PRIME LEAGUE 6 HD	00`05alive00`05b141646.m3u8
|FR| AMAZON PRIME LEAGUE 7 HD	00`05alive00`05b141647.m3u8
|FR| AMAZON PRIME 1 HD LEAGUE 2	00`05alive00`05b170139.m3u8
|FR| AMAZON PRIME 2 HD LEAGUE 2	00`05alive00`05b170140.m3u8
|FR| AMAZON PRIME 3 HD LEAGUE 2	00`05alive00`05b170141.m3u8
|FR| AMAZON PRIME 4 HD LEAGUE 2	00`05alive00`05b170142.m3u8
|FR| AMAZON PRIME 5 HD LEAGUE 2	00`05alive00`05b170143.m3u8
|FR| AMAZON PRIME 6 HD LEAGUE 2	00`05alive00`05b170144.m3u8
|FR| AMAZON PRIME 7 HD LEAGUE 2	00`05alive00`05b170145.m3u8
|FR| AMAZON PRIME 8 HD LEAGUE 2	00`05alive00`05b170146.m3u8
| SPORT | AEROBIC	00`05alive00`05b402376.m3u8
|FR| DAZN 1 FRANCE HD	00`05alive00`05b560825.m3u8
|FR| DAZN EVENTS 1 HD (ONLY ON LIVE)	00`05alive00`05b560826.m3u8
|FR| DAZN EVENTS 2 HD (ONLY ON LIVE)	00`05alive00`05b560827.m3u8
|FR| DAZN EVENTS 3 HD (ONLY ON LIVE)	00`05alive00`05b560828.m3u8
|FR| DAZN EVENTS 4 HD (ONLY ON LIVE)	00`05alive00`05b560829.m3u8
|FR| DAZN EVENTS 5 HD (ONLY ON LIVE)	00`05alive00`05b560830.m3u8
