Indosiar TV	`1https://en.gdplayertv.to/live-tv/indosiar/?embed=1
Jiangsu TV	`1https://en.gdplayertv.to/live-tv/jiangsu-tv/?embed=1
Kplus (K+) TV	`1https://en.gdplayertv.to/live-tv/kplus/?embed=1
Lifetime TV	`1https://en.gdplayertv.to/live-tv/lifetime-tv/?embed=1
MTV 90s	`1https://en.gdplayertv.to/live-tv/mtv-90s/?embed=1
MTV Live Asia	`1https://en.gdplayertv.to/live-tv/mtv-live/?embed=1
Music TV	`1https://en.gdplayertv.to/live-tv/music-tv/?embed=1
Musik Indonesia TV	`1https://en.gdplayertv.to/live-tv/musik-indonesia-tv/?embed=1
NBA TV Indonesia	`1https://en.gdplayertv.to/live-tv/nba/?embed=1
ONE TV Indonesia	`1https://en.gdplayertv.to/live-tv/one/?embed=1
Rock Entertainment TV	`1https://en.gdplayertv.to/live-tv/rock-entertainment/?embed=1
SCTV	`1https://en.gdplayertv.to/live-tv/sctv/?embed=1
Trans7 TV	`1https://en.gdplayertv.to/live-tv/trans7/?embed=1
TransTV	`1https://en.gdplayertv.to/live-tv/transtv/?embed=1
TV5 Monde	`1https://en.gdplayertv.to/live-tv/tv5-monde/?embed=1
tvN Indonesia	`1https://en.gdplayertv.to/live-tv/tvn/?embed=1
TVRI Sport	`1https://en.gdplayertv.to/live-tv/tvri-sport/?embed=1
Xing Kong TV	`1https://en.gdplayertv.to/live-tv/xing-kong-tv/?embed=1
Zee Bioskop TV	`1https://en.gdplayertv.to/live-tv/zee-bioskop/?embed=1
Astro Arena 1 TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/astro-arena/?embed=1
Astro Arena 2 TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/astro-arena-2/?embed=1
Astro Cricket TV	`1https://en.gdplayertv.to/live-tv/astro-cricket/?embed=1
Astro Supersport 1 TV	`1https://en.gdplayertv.to/live-tv/astro-supersport/?embed=1
Astro Supersport 2 TV	`1https://en.gdplayertv.to/live-tv/astro-supersport-2/?embed=1
Astro Supersport 3 TV	`1https://en.gdplayertv.to/live-tv/astro-supersport-3/?embed=1
